Brand,Title,Product_Url,Average_rating,Product_Code,Reviews,Selling_Price,Orginal_Price,Discount,Sales_Status,Composition
Body,2pk Pyjama Bottoms,https://www.marksandspencer.com/2pk-cool-comfort-pyjama-bottoms/p/clp60617322#intid=pid_pg2pip48g2r23c1,3.77,T371645P,13,25,25,0,,100% cotton (exclusive of trimmings)
M&S Collection,Star Chemise,https://www.marksandspencer.com/cool-comfort-star-print-short-chemise/p/clp60623729#intid=pid_pg2pip48g2r23c2,4.5,T375094C,46,10,10,0,,"50% cotton, 50% modal (exclusive of trimmings)"
M&S Collection,Snoopy™ Nightdress,https://www.marksandspencer.com/cotton-modal-snoopy-short-nightdress/p/clp60619968#intid=pid_pg2pip48g2r24c1,4.14,T373269M,7,16,16,0,,"50% cotton, 50% modal (exclusive of trimmings)"
Body,2pk Pyjama Bottoms,https://www.marksandspencer.com/2pk-cool-comfort-pyjama-bottoms/p/clp60617323#intid=pid_pg2pip48g2r24c2,4.73,T371642P,22,25,25,0,,100% cotton (exclusive of trimmings)
Cyberjammies,Modal Rich Pyjama Top,https://www.marksandspencer.com/modal-rich-pyjama-top/p/clp23001076#intid=pid_pg3pip48g2r1c1,0,T838533,,22,22,0,,"95% modal, 5% elastane"
M&S Collection,Cotton Rich Fox Print Cuffed Hem Pyjama Set,https://www.marksandspencer.com/cotton-rich-fox-print-cuffed-hem-pyjama-set/p/clp60617589#intid=pid_pg3pip48g2r1c2,4.43,T371352J,7,18,18,0,,"Top - 100% cotton (exclusive of trimmings), Bottom - 98% cotton, 2% viscose"
M&S Collection,Dream Satin™ Revere Pyjama Top,https://www.marksandspencer.com/dream-satin-revere-pyjama-top/p/clp60622178#intid=pid_pg3pip48g2r2c1,0,T373415X,,15,15,0,,100% polyester (exclusive of trimmings)
M&S Collection,Cotton Rich Heart Print Pyjama Set,https://www.marksandspencer.com/cotton-rich-heart-print-pyjama-set/p/clp60620649#intid=pid_pg3pip48g2r2c2,4.61,T374562F,18,15,15,0,,"60% cotton, 40% polyester (exclusive of trimmings)"
M&S Collection,Dream Satin™ Printed Cami Top,https://www.marksandspencer.com/dream-satin-printed-cami-top/p/clp60622103#intid=pid_pg3pip48g2r3c1,0,T373416X,,12,12,0,,100% polyester (exclusive of trimmings)
Cyberjammies,Pure Cotton Checked Pyjama Top,https://www.marksandspencer.com/pure-cotton-checked-pyjama-top/p/clp23001074#intid=pid_pg3pip48g2r3c2,0,T838530,,26,26,0,,100% cotton
M&S Collection,Cotton Modal Long Nightdress,https://www.marksandspencer.com/cool-comfort-printed-long-nightdress/p/clp60563599#intid=pid_pg3pip48g2r4c1,4.65,T376202N,417,18,18,0,,"50% cotton, 50% modal (exclusive of trimmings)"
M&S Collection,Pure Cotton Striped Heart Print Pyjama Set,https://www.marksandspencer.com/pure-cotton-striped-heart-print-pyjama-set/p/clp60577181#intid=pid_pg3pip48g2r4c2,4.68,T374517F,93,15,15,0,,100% cotton (exclusive of trimmings)
M&S Collection,Pure Cotton Winter Animals Pyjama Set,https://www.marksandspencer.com/pure-cotton-winter-animals-pyjama-set/p/clp60622263#intid=pid_pg3pip48g2r5c1,4.5,T374568F,6,15,15,0,,100% cotton (exclusive of trimmings)
M&S Collection,Pure Cotton Broderie Trim Long Nightdress,https://www.marksandspencer.com/broderie-trim-long-nightdress/p/clp60517248#intid=pid_pg3pip48g2r5c2,4.44,T376133N,530,18,18,0,,100% cotton (exclusive of trimmings)
M&S Collection,Fleece Hooded Dressing Gown,https://www.marksandspencer.com/hooded-long-dressing-gown/p/clp60458400#intid=pid_pg3pip48g2r6c1,4.48,T372314G,648,30,30,0,,100% polyester (exclusive of trimmings)
